"filename", "language", "Batch", "XML", "PowerShell", "Properties", "YAML", "Java", "MS SQL", "comment", "blank", "total"
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ReservationLimitConfig.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 8, 23
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ReservationVO.java", "Java", 0, 0, 0, 0, 0, 35, 0, 10, 7, 52
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ResourceMarketItem.java", "Java", 0, 0, 0, 0, 0, 42, 0, 4, 9, 55
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ResourceMarketTrade.java", "Java", 0, 0, 0, 0, 0, 35, 0, 1, 10, 46
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Review.java", "Java", 0, 0, 0, 0, 0, 23, 0, 0, 13, 36
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ScanDevice.java", "Java", 0, 0, 0, 0, 0, 19, 0, 12, 11, 42
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ScanDevicePairToken.java", "Java", 0, 0, 0, 0, 0, 21, 0, 15, 13, 49
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\StudyPlan.java", "Java", 0, 0, 0, 0, 0, 28, 0, 1, 16, 45
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\StudyPlanVO.java", "Java", 0, 0, 0, 0, 0, 27, 0, 10, 5, 42
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamJoinApplication.java", "Java", 0, 0, 0, 0, 0, 23, 0, 11, 13, 47
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamJoinApplicationVO.java", "Java", 0, 0, 0, 0, 0, 19, 0, 6, 6, 31
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamMember.java", "Java", 0, 0, 0, 0, 0, 20, 0, 0, 10, 30
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamMemberVO.java", "Java", 0, 0, 0, 0, 0, 12, 0, 4, 5, 21
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamMessage.java", "Java", 0, 0, 0, 0, 0, 26, 0, 12, 18, 56
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamMessageRead.java", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 11, 36
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamRequest.java", "Java", 0, 0, 0, 0, 0, 25, 0, 3, 15, 43
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamRequestVO.java", "Java", 0, 0, 0, 0, 0, 19, 0, 4, 5, 28
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TimeSlot.java", "Java", 0, 0, 0, 0, 0, 23, 0, 0, 12, 35
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\User.java", "Java", 0, 0, 0, 0, 0, 26, 0, 0, 16, 42
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\AdminMenuMapper.java", "Java", 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\AdminOperationLogMapper.java", "Java", 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\AdminPermissionMapper.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\AdminRoleMapper.java", "Java", 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\BuildingMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\CampusCreditMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ClassroomFeedbackMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ClassroomMapper.java", "Java", 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\CourseMapper.java", "Java", 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\LibraryMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\LibrarySeatMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\NotificationMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\RepairMapper.java", "Java", 0, 0, 0, 0, 0, 88, 0, 0, 7, 95
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ReservationLimitConfigMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ReservationMapper.java", "Java", 0, 0, 0, 0, 0, 64, 0, 3, 5, 72
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ResourceMarketItemMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ResourceMarketTradeMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ReviewMapper.java", "Java", 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ScanDeviceMapper.java", "Java", 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ScanDevicePairTokenMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\StudyPlanMapper.java", "Java", 0, 0, 0, 0, 0, 60, 0, 9, 7, 76
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamJoinApplicationMapper.java", "Java", 0, 0, 0, 0, 0, 85, 0, 15, 10, 110
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamMemberMapper.java", "Java", 0, 0, 0, 0, 0, 37, 0, 8, 7, 52
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamMessageMapper.java", "Java", 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamMessageReadMapper.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamRequestMapper.java", "Java", 0, 0, 0, 0, 0, 45, 0, 6, 7, 58
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TimeSlotMapper.java", "Java", 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\UserMapper.java", "Java", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\AdminAuthService.java", "Java", 0, 0, 0, 0, 0, 44, 0, 0, 14, 58
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\AdminOperationLogService.java", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\AdminPermissionService.java", "Java", 0, 0, 0, 0, 0, 23, 0, 0, 9, 32
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\BuildingService.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\CampusCreditService.java", "Java", 0, 0, 0, 0, 0, 55, 0, 0, 11, 66
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ClassroomFeedbackService.java", "Java", 0, 0, 0, 0, 0, 138, 0, 18, 14, 170
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ClassroomService.java", "Java", 0, 0, 0, 0, 0, 64, 0, 3, 13, 80
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\CourseService.java", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\LibrarySeatService.java", "Java", 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\LibraryService.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 6, 21
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\NotificationService.java", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\RepairService.java", "Java", 0, 0, 0, 0, 0, 55, 0, 6, 13, 74
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ReservationLimitService.java", "Java", 0, 0, 0, 0, 0, 87, 0, 3, 10, 100
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ReservationService.java", "Java", 0, 0, 0, 0, 0, 206, 0, 27, 30, 263
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ResourceMarketItemService.java", "Java", 0, 0, 0, 0, 0, 153, 0, 0, 19, 172
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ResourceMarketTradeService.java", "Java", 0, 0, 0, 0, 0, 65, 0, 0, 12, 77
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ReviewService.java", "Java", 0, 0, 0, 0, 0, 42, 0, 2, 9, 53
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ScanDevicePairTokenService.java", "Java", 0, 0, 0, 0, 0, 44, 0, 0, 9, 53
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ScanDeviceService.java", "Java", 0, 0, 0, 0, 0, 48, 0, 9, 8, 65
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\StudyPlanService.java", "Java", 0, 0, 0, 0, 0, 132, 0, 16, 20, 168
